genero;nivel_formacion;pais;rubro;dotacion;origen_capital;puesto;funcion_rh;anios_experiencia;tipo_contratacion;sueldo_bruto;satisfaccion;busqueda;tipo_cambio;multiplicador;sueldo_ft;sueldo_dolar;cuenta
Femenino;Universitario completo;Argentina;Servicios de salud;117;Nacional;Administrativo;Generalista;4;Full time;44840;1;No,  pero escucho ofertas;83.89;1;44840;534.5094766956729;1
Masculino;Universitario en curso;Argentina;"Textiles; vestido; cuero; calzado";450;Multinacional;Analista;Administración de personal;10;Full time;35000;3;No,  pero escucho ofertas;83.89;1;35000;417.2130170461318;1
Femenino;Universitario completo;Argentina;Otros;50;Multinacional;Analista;Reclutamiento y selección;4;Plazo Fijo;30000;2;Sí, activamente;83.89;1;30000;357.611157468113;1
Femenino;Universitario en curso;Argentina;Otros;350;Nacional;Analista;Generalista;3;Full time;50282;4;No,  pero escucho ofertas;83.89;1;50282;599.3801406603886;1
Femenino;Universitario completo;Ecuador;Otros;318;Nacional;Pasante;Reclutamiento y selección;1;Pasante;400;4;Sí, activamente;1;1;400;400;1
Masculino;Maestría completa;Guatemala;"Agricultura; plantaciones,otros sectores rurales";4000;Multinacional;Jefe;Generalista;18;Full time;43000;5;No,  pero escucho ofertas;7.79624;1;43000;5515.479256667317;1
Femenino;Universitario completo;Argentina;Tecnologías de Información, Sistemas, y afines;20;Nacional;Responsable;Generalista;10;Full time;95000;5;No estoy buscando cambiar;83.89;1;95000;1132.4353319823579;1
Femenino;Universitario completo;Argentina;Construcción;200;Nacional;Analista;Administración de personal;5;Full time;60000;3;No,  pero escucho ofertas;83.89;1;60000;715.222314936226;1
Femenino;Universitario completo;Argentina;Construcción;80;Nacional;Responsable;Administración de personal;2;Full time;50000;3;Sí, activamente;83.89;1;50000;596.0185957801883;1
Femenino;Universitario completo;Argentina;Servicios de correos, y de telecomunicaciones;400;Nacional;Responsable;Payroll / Liquidación de sueldos;13;Full time;120000;4;Sí, activamente;83.89;1;120000;1430.444629872452;1
Masculino;Universitario en curso;Argentina;Servicios de salud;400;Nacional;Analista;Payroll / Liquidación de sueldos;5;Full time;55000;3;No,  pero escucho ofertas;83.89;1;55000;655.6204553582072;1
Masculino;Universitario en curso;Argentina;Construcción;600;Nacional;Analista;Administración de personal;15;Full time;75000;4;No,  pero escucho ofertas;83.89;1;75000;894.0278936702825;1
Femenino;Universitario completo;Argentina;"Petróleo y producción de gas; refinación de petróleo";60000;Multinacional;Analista;Reclutamiento y selección;10;Full time;105000;4;No,  pero escucho ofertas;83.89;1;105000;1251.6390511383954;1
Femenino;Universitario completo;Argentina;Otros;250;Nacional;Gerente;La mayoría de los nombrados con iguales condiciones de importancia y prioridad;12;Full time;140000;5;No estoy buscando cambiar;83.89;1;140000;1668.8520681845273;1
Masculino;Universitario completo;Argentina;Industrias químicas;460;Nacional;Responsable;Administración de personal;10;Full time;116000;1;Sí, activamente;83.89;1;116000;1382.763142210037;1
Femenino;Universitario completo;Argentina;Tecnologías de Información, Sistemas, y afines;250;Multinacional;Analista;Reclutamiento y selección;5;Full time;80000;4;No estoy buscando cambiar;83.89;1;80000;953.6297532483013;1
Femenino;Universitario completo;Argentina;Servicios de consultoría;400;Multinacional;Analista;Capacitación y Desarrollo + Bienestar + RSE;8;Full time;67000;4;No estoy buscando cambiar;83.89;1;67000;798.6649183454524;1
Femenino;Universitario completo;Argentina;"Petróleo y producción de gas; refinación de petróleo";225;Multinacional;Administrativo;Administración de personal;5;Full time;65000;3;Sí, activamente;83.89;1;65000;774.8241745142449;1
Masculino;Universitario completo;Argentina;Construcción;322;Nacional;Jefe;Generalista;15;Full time;89800;3;Sí, activamente;83.89;1;89800;1070.4493980212183;1
Femenino;Universitario completo;Argentina;Tecnologías de Información, Sistemas, y afines;120;Nacional;Analista;Reclutamiento y selección;5;Full time;78000;4;No estoy buscando cambiar;83.89;1;78000;929.7890094170938;1
Masculino;Maestría completa;Argentina;Otros;600;Nacional;Gerente;Generalista;15;Full time;250000;NA;NA;83.89;1;250000;2980.0929789009415;1
Femenino;Universitario completo;Argentina;"Textiles; vestido; cuero; calzado";30;Nacional;Responsable;Generalista;17;Part time;32000;2;Sí, activamente;83.89;1.5;48000;572.1778519489808;1
Femenino;Secundario completo;Argentina;Producción de metales básicos;100;Nacional;Analista;Administración de personal;11;Full time;35000;3;No,  pero escucho ofertas;83.89;1;35000;417.2130170461318;1
Femenino;Maestría completa;Panamá;Industrias químicas;175;Multinacional;HRBP;Administración de personal;10;Full time;3200;2;Sí, activamente;1;1;3200;3200;1
Masculino;Universitario completo;Argentina;Servicios de consultoría;350;Multinacional;Gerente;Generalista;10;Full time;140000;4;No,  pero escucho ofertas;83.89;1;140000;1668.8520681845273;1
Femenino;Universitario completo;Argentina;"Textiles; vestido; cuero; calzado";300;Multinacional;Responsable;Generalista;15;Full time;63000;NA;NA;83.89;1;63000;750.9834306830373;1
Femenino;Terciario completo;Argentina;Servicios de consultoría;300;Multinacional;Analista;Generalista;5;Full time;650000;5;No,  pero escucho ofertas;83.89;1;650000;7748.241745142448;1
Femenino;Universitario completo;Argentina;"Alimentación; bebidas; tabaco";57;Multinacional;Responsable;Generalista;4;Full time;73000;3;No,  pero escucho ofertas;83.89;1;73000;870.187149839075;1
Femenino;Maestría completa;Perú;"Textiles; vestido; cuero; calzado";300;Nacional;Jefe;Generalista;5;Plazo Fijo;5000;NA;NA;3.615;1;5000;1383.1258644536651;1
Femenino;Universitario completo;Argentina;Servicios de consultoría;20;Nacional;Analista;Reclutamiento y selección;2;Full time;20900;3;Sí, activamente;83.89;1;20900;249.13577303611874;1
Femenino;Universitario completo;Argentina;Servicios profesionales;15;Nacional;Responsable;Reclutamiento y selección;1;Part time;34000;5;No,  pero escucho ofertas;83.89;1.5;51000;607.9389676957921;1
Masculino;Maestría completa;Bolivia;Comercio;39;Multinacional;Jefe;Generalista;9;Full time;14400;5;No estoy buscando cambiar;6.96;1;14400;2068.9655172413795;1
Femenino;Universitario completo;Argentina;Otros;126;Multinacional;Analista;Administración de personal;9;Full time;59000;3;Sí, activamente;83.89;1;59000;703.3019430206223;1
Masculino;Universitario completo;Argentina;Servicios de correos, y de telecomunicaciones;5000;Nacional;HRBP;Generalista;7;Full time;81000;3;No,  pero escucho ofertas;83.89;1;81000;965.5501251639051;1
Femenino;Universitario completo;Argentina;Servicios de correos, y de telecomunicaciones;80;Nacional;Analista;Administración de personal;2;Full time;38000;4;Sí, activamente;83.89;1;38000;452.9741327929431;1
